Country,Year,infant_mortality,fertility
Mali,1982,154.2,7.07
Malta,1982,13.9,2.06
Mauritania,1982,92.5,6.31
Mauritius,1982,28.3,2.41
Mexico,1982,51.4,4.33
"Micronesia, Fed. Sts.",1982,45,6.02
Moldova,1982,37.4,2.55
Mongolia,1982,105.6,5.86
Montenegro,1982,NA,2.19
Morocco,1982,87.3,5.44
Mozambique,1982,173.3,6.46
Namibia,1982,61.5,6.26
Nepal,1982,132.1,5.68
Netherlands,1982,8.4,1.5
New Caledonia,1982,NA,3.35
New Zealand,1982,12.1,2.1
Nicaragua,1982,69.9,5.89
Niger,1982,135.3,7.75
Nigeria,1982,124.4,6.77
Norway,1982,8,1.71
Oman,1982,66.6,8.35
Pakistan,1982,119.4,6.48
Panama,1982,33.4,3.67
Papua New Guinea,1982,74,5.52
Paraguay,1982,47,5.19
Peru,1982,78.7,4.73
Philippines,1982,52.3,4.98
Poland,1982,20,2.32
Portugal,1982,19.9,2.07
Puerto Rico,1982,NA,2.49
Qatar,1982,27.2,5.5
Romania,1982,32.5,2.16
Russia,1982,26.5,1.96
Rwanda,1982,111.8,8.42
St. Lucia,1982,24.9,4.33
St. Vincent and the Grenadines,1982,37.7,3.69
Samoa,1982,52.4,5.97
Saudi Arabia,1982,63.1,7.05
Senegal,1982,87.4,7.28
Serbia,1982,NA,2.33
Seychelles,1982,21.4,3.56
Sierra Leone,1982,164.1,7.03
Singapore,1982,10.7,1.74
Slovak Republic,1982,22.2,2.3
Slovenia,1982,14.6,1.92
Solomon Islands,1982,38.8,6.53
South Africa,1982,62.2,4.6
Spain,1982,13.2,1.96
Sri Lanka,1982,34.1,3.22
Sudan,1982,86.7,6.67
Suriname,1982,59.1,3.71
Swaziland,1982,76.5,6.57
Sweden,1982,6.8,1.63
Switzerland,1982,7.8,1.52
Syria,1982,42.7,6.84
Tajikistan,1982,100,5.56
Tanzania,1982,107.6,6.58
Thailand,1982,43.4,3.02
Timor-Leste,1982,NA,5.13
Togo,1982,102.7,7.1
Tonga,1982,23,5.48
Trinidad and Tobago,1982,32.3,3.26
Tunisia,1982,62.2,5.02
Turkey,1982,82.6,4.11
Turkmenistan,1982,90.3,4.84
Uganda,1982,125,7.1
Ukraine,1982,21.7,2.01
United Arab Emirates,1982,24.2,5.27
United Kingdom,1982,10.8,1.76
United States,1982,11.7,1.81
Uruguay,1982,29.4,2.61
Uzbekistan,1982,81.2,4.83
Vanuatu,1982,46.3,5.43
Venezuela,1982,32.7,4.01
West Bank and Gaza,1982,53.3,7.08
Vietnam,1982,44.8,4.69
Yemen,1982,124.4,9.19
Zambia,1982,98.3,7.02
Zimbabwe,1982,61.6,6.81
Albania,1987,40.8,3.13
Algeria,1987,46.3,5.51
Angola,1987,134.1,7.2
Antigua and Barbuda,1987,NA,2.07
Argentina,1987,27.1,3.06
Armenia,1987,47.8,2.55
Aruba,1987,NA,2.31
Australia,1987,8.7,1.85
Austria,1987,9.4,1.43
Azerbaijan,1987,77.3,2.95
Bahamas,1987,22.2,2.73
Bahrain,1987,20.1,4.13
Bangladesh,1987,110.8,5.13
Barbados,1987,18.1,1.78
Belarus,1987,14.8,2.05
Belgium,1987,9.2,1.56
Belize,1987,37.9,4.77
Benin,1987,114.8,6.9
Bhutan,1987,104.9,6.13
Bolivia,1987,94,5.03
Bosnia and Herzegovina,1987,20.4,1.89
Botswana,1987,42,5.21
Brazil,1987,56.8,3.17
Brunei,1987,10.3,3.72
Bulgaria,1987,18.2,1.94
Burkina Faso,1987,105.3,7.09
Burundi,1987,103.3,7.57
Cambodia,1987,86,6.07
Cameroon,1987,87.2,6.63
Canada,1987,7.5,1.58
Cape Verde,1987,54,5.68
Central African Republic,1987,115.5,5.9
Chad,1987,119.3,7.2
Chile,1987,18.4,2.65
China,1987,42,2.68
Colombia,1987,31.5,3.28
Comoros,1987,95.8,6.14
"Congo, Dem. Rep.",1987,122.9,6.96
"Congo, Rep.",1987,60.9,5.59
Costa Rica,1987,16.3,3.38
Cote d'Ivoire,1987,105.2,6.75
Croatia,1987,13.8,1.84
Cuba,1987,13.3,1.83
Cyprus,1987,10.7,2.45
Czech Republic,1987,14.3,1.93
Denmark,1987,8,1.5
Djibouti,1987,98.9,6.19
Dominican Republic,1987,51.3,3.7
Ecuador,1987,50.1,4.04
Egypt,1987,73.5,4.83
El Salvador,1987,53.3,4.26
Equatorial Guinea,1987,135.3,5.88
Eritrea,1987,101.6,6.54
Estonia,1987,18,2.17
Ethiopia,1987,127.6,7.39
Fiji,1987,27.3,3.51
Finland,1987,5.9,1.59
France,1987,8.1,1.81
French Polynesia,1987,NA,3.65
Gabon,1987,62.5,5.61
Gambia,1987,86.5,6.16
Georgia,1987,41.9,2.26
Germany,1987,8.3,1.43
Ghana,1987,89,5.94
Greece,1987,13.9,1.58
Greenland,1987,NA,2.08
Grenada,1987,19.2,4.15
Guatemala,1987,67.7,5.76
Guinea,1987,150,6.64
Guinea-Bissau,1987,143.1,6.73
Guyana,1987,49.4,2.5
Haiti,1987,108.8,5.8
Honduras,1987,51.2,5.44
"Hong Kong, China",1987,NA,1.39
Hungary,1987,19.4,1.84
Iceland,1987,5.6,2.13
India,1987,95.6,4.13
Indonesia,1987,69.3,3.47
Iran,1987,51.9,5.76
Iraq,1987,45.1,6.11
Ireland,1987,8.4,2.23
Israel,1987,11,3.06
Italy,1987,9.4,1.35
Jamaica,1987,27.5,3.14
Japan,1987,5,1.67
Jordan,1987,33.1,6.16
Kazakhstan,1987,47.1,3.02
Kenya,1987,62.7,6.6
Kiribati,1987,77.2,4.75
South Korea,1987,7.4,1.67
Kuwait,1987,17.6,3.31
Kyrgyz Republic,1987,58.7,4.04
Lao,1987,118.4,6.31
Latvia,1987,15,2.12
Lebanon,1987,30.8,3.28
Lesotho,1987,73.7,5.17
Liberia,1987,161.5,6.75
Libya,1987,41.3,5.91
Lithuania,1987,13.6,2.05
Luxembourg,1987,8.5,1.47
"Macao, China",1987,NA,1.97
"Macedonia, FYR",1987,42.9,2.34
Madagascar,1987,106.4,6.23
Malawi,1987,149.6,7.4
Malaysia,1987,16.6,3.6
Maldives,1987,77.7,6.89
Mali,1987,137.8,7.09
Malta,1987,11.3,2.06
Mauritania,1987,82.1,6.1
Mauritius,1987,24.4,2.27
Mexico,1987,42.1,3.67
"Micronesia, Fed. Sts.",1987,45,5.3
Moldova,1987,29.9,2.63
Mongolia,1987,87.3,4.91
Montenegro,1987,18.2,1.98
Morocco,1987,71,4.57
Mozambique,1987,165.7,6.35
Namibia,1987,53.8,5.63
Nepal,1987,111.1,5.38
Netherlands,1987,7.5,1.56
New Caledonia,1987,NA,3.05
New Zealand,1987,10.6,2.24
Nicaragua,1987,56.5,5.12
Niger,1987,141.4,7.77
Nigeria,1987,125.4,6.63
Norway,1987,8.2,1.75
Oman,1987,41.8,7.93
Pakistan,1987,111.4,6.31
Panama,1987,28.1,3.26
Papua New Guinea,1987,68.1,5.02
Paraguay,1987,40.7,4.84
Peru,1987,64.6,4.14
Philippines,1987,46.7,4.55
Poland,1987,16.6,2.19
Portugal,1987,14.5,1.65
Puerto Rico,1987,NA,2.28
Qatar,1987,21.3,4.52
Romania,1987,32.6,2.41
Russia,1987,23.5,2.23
Rwanda,1987,93.1,8
St. Lucia,1987,20.4,3.68
St. Vincent and the Grenadines,1987,23.9,3.14
Samoa,1987,28.4,5.4
Saudi Arabia,1987,45.2,6.33
Senegal,1987,75.5,6.93
Serbia,1987,31.1,2.24
Seychelles,1987,15.9,2.99
Sierra Leone,1987,158.3,6.75
Singapore,1987,7.9,1.62
Slovak Republic,1987,17.7,2.17
Slovenia,1987,10.8,1.63
Solomon Islands,1987,34.1,6.14
South Africa,1987,51.4,4.05
Spain,1987,10.4,1.49
Sri Lanka,1987,20.5,2.7
Sudan,1987,82.8,6.34
Suriname,1987,43.8,3.06
Swaziland,1987,59.4,6.18
Sweden,1987,6.2,1.84
Switzerland,1987,7.1,1.55
Syria,1987,34.3,5.96
Tajikistan,1987,88.6,5.41
Tanzania,1987,104.2,6.38
Thailand,1987,35.1,2.35
Timor-Leste,1987,149.6,5.27
Togo,1987,94,6.68
Tonga,1987,20.5,4.86
Trinidad and Tobago,1987,28.4,2.83
Tunisia,1987,49.5,4.08
Turkey,1987,64.8,3.43
Turkmenistan,1987,76.9,4.57
Uganda,1987,114.7,7.1
Ukraine,1987,17.9,2.03
United Arab Emirates,1987,16.9,4.86
United Kingdom,1987,9.2,1.83
United States,1987,10.2,1.87
Uruguay,1987,23.2,2.52
Uzbekistan,1987,63,4.41
Vanuatu,1987,33.6,5.08
Venezuela,1987,27.6,3.67
West Bank and Gaza,1987,41.1,6.54
Vietnam,1987,40,3.93
Yemen,1987,97.7,9.03
Zambia,1987,110.6,6.67
Zimbabwe,1987,50.4,5.78
Albania,1992,32.5,2.87
Algeria,1992,38.1,4.24
Angola,1992,133.5,7.12
Antigua and Barbuda,1992,21.5,2.1
Argentina,1992,22.8,2.92
Armenia,1992,38.8,2.4
Aruba,1992,NA,2.19
Australia,1992,6.7,1.89
Austria,1992,7.1,1.51
Azerbaijan,1992,76,2.88
Bahamas,1992,18,2.62
Bahrain,1992,18.7,3.47
Bangladesh,1992,92.1,4.2
Barbados,1992,14.9,1.73
Belarus,1992,13.6,1.72
Belgium,1992,7.6,1.6
Belize,1992,28.8,4.36
Benin,1992,103.2,6.6
Bhutan,1992,85.9,5.22
Bolivia,1992,80.2,4.81
Bosnia and Herzegovina,1992,14.7,1.59
Botswana,1992,44.2,4.39
Brazil,1992,46.8,2.64
Brunei,1992,9,3.32
Bulgaria,1992,19.1,1.6
Burkina Faso,1992,102.4,6.95
Burundi,1992,104.8,7.47
Cambodia,1992,85.7,5.24
Cameroon,1992,88.2,6.26
Canada,1992,6.4,1.71
Cape Verde,1992,46.3,5.02
Central African Republic,1992,115.1,5.69
Chad,1992,113.7,7.38
Chile,1992,13.7,2.56
China,1992,41.2,2.11
Colombia,1992,27.4,3.01
Comoros,1992,82.9,5.36
"Congo, Dem. Rep.",1992,117.7,7.22
"Congo, Rep.",1992,63,5.24
Costa Rica,1992,13.7,3
Cote d'Ivoire,1992,104.7,6.11
Croatia,1992,9.9,1.57
Cuba,1992,9.3,1.68
Cyprus,1992,9.3,2.34
Czech Republic,1992,11.5,1.68
Denmark,1992,6.5,1.76
Djibouti,1992,89.6,5.88
Dominican Republic,1992,43.3,3.33
Ecuador,1992,40.5,3.58
Egypt,1992,57.6,4.02
El Salvador,1992,41.7,3.78
Equatorial Guinea,1992,123.1,5.9
Eritrea,1992,85.8,6.44
Estonia,1992,15.2,1.71
Ethiopia,1992,116.4,7.14
Fiji,1992,23.5,3.35
Finland,1992,5,1.85
France,1992,6.7,1.72
French Polynesia,1992,NA,3.18
Gabon,1992,59.6,5.26
Gambia,1992,76.1,6.08
Georgia,1992,40,2.08
Germany,1992,6.2,1.32
Ghana,1992,75.6,5.39
Greece,1992,10.3,1.37
Greenland,1992,NA,2.61
Grenada,1992,16.7,3.55
Guatemala,1992,55,5.47
Guinea,1992,133.7,6.49
Guinea-Bissau,1992,130.2,6.55
Guyana,1992,44.5,2.47
Haiti,1992,95.8,5.21
Honduras,1992,41.5,4.95
"Hong Kong, China",1992,NA,1.22
Hungary,1992,15.4,1.75
Iceland,1992,4.7,2.17
India,1992,83.9,3.71
Indonesia,1992,57.4,2.93
Iran,1992,40.8,4.14
Iraq,1992,40.8,5.7
Ireland,1992,6.8,1.92
Israel,1992,8.7,2.95
Italy,1992,7.7,1.28
Jamaica,1992,24,2.86
Japan,1992,4.4,1.5
Jordan,1992,28.3,5.17
Kazakhstan,1992,44.7,2.61
Kenya,1992,68.9,5.67
Kiribati,1992,65,4.57
South Korea,1992,5.5,1.65
Kuwait,1992,14,2.14
Kyrgyz Republic,1992,53.6,3.66
Lao,1992,105.9,5.93
Latvia,1992,19.1,1.7
Lebanon,1992,24.7,2.84
Lesotho,1992,71.1,4.76
Liberia,1992,170.3,6.34
Libya,1992,32.2,4.43
Lithuania,1992,16.1,1.85
Luxembourg,1992,6.3,1.64
"Macao, China",1992,NA,1.49
"Macedonia, FYR",1992,30.1,2.16
Madagascar,1992,92.9,6.18
Malawi,1992,133.1,6.72
Malaysia,1992,13,3.45
Maldives,1992,62.5,5.46
Mali,1992,127.3,7.02
Malta,1992,9.3,2.02
Mauritania,1992,76.7,5.88
Mauritius,1992,18.4,2.25
Mexico,1992,33.7,3.2
"Micronesia, Fed. Sts.",1992,43,4.82
Moldova,1992,28.2,2.19
Mongolia,1992,70.7,3.45
Montenegro,1992,14,1.83
Morocco,1992,58.5,3.76
Mozambique,1992,154.7,6.14
Namibia,1992,47.8,4.97
Nepal,1992,88.9,5
Netherlands,1992,6.3,1.59
New Caledonia,1992,NA,2.93
New Zealand,1992,8.2,2.31
Nicaragua,1992,47.1,4.52
Niger,1992,132.6,7.77
Nigeria,1992,125.5,6.4
Norway,1992,5.8,1.88
Oman,1992,26.8,6.47
Pakistan,1992,102.5,5.77
Panama,1992,24.6,2.98
Papua New Guinea,1992,63.4,4.72
Paraguay,1992,34.8,4.36
Peru,1992,51,3.62
Philippines,1992,37.3,4.18
Poland,1992,14.3,1.91
Portugal,1992,9.7,1.5
Puerto Rico,1992,NA,2.18
Qatar,1992,15.6,3.8
Romania,1992,29.1,1.49
Russia,1992,22,1.55
Rwanda,1992,101.3,6.77
St. Lucia,1992,18,3.2
St. Vincent and the Grenadines,1992,19.2,2.86
Samoa,1992,24.2,4.96
Saudi Arabia,1992,30.3,5.52
Senegal,1992,69.6,6.4
Serbia,1992,20.9,2
Seychelles,1992,13.3,2.59
Sierra Leone,1992,155.7,6.39
Singapore,1992,5,1.72
Slovak Republic,1992,14.3,1.9
Slovenia,1992,7.7,1.38
Solomon Islands,1992,30.9,5.6
South Africa,1992,46.4,3.41
Spain,1992,8.5,1.28
Sri Lanka,1992,18.2,2.39
Sudan,1992,77.9,6.03
Suriname,1992,38.6,2.64
Swaziland,1992,58.6,5.39
Sweden,1992,5.1,2.08
Switzerland,1992,6.1,1.54
Syria,1992,28,4.93
Tajikistan,1992,90.1,4.95
Tanzania,1992,98.9,6.08
Thailand,1992,27.3,2
Timor-Leste,1992,121.7,5.65
Togo,1992,87.9,6.08
Tonga,1992,17.4,4.58
Trinidad and Tobago,1992,26.2,2.23
Tunisia,1992,41.2,3.19
Turkey,1992,50.5,2.91
Turkmenistan,1992,71.9,4.07
Uganda,1992,106.8,7.07
Ukraine,1992,16.8,1.69
United Arab Emirates,1992,12.8,3.99
United Kingdom,1992,7,1.79
United States,1992,8.8,2.04
Uruguay,1992,19.1,2.49
Uzbekistan,1992,58.4,3.93
Vanuatu,1992,27.2,4.85
Venezuela,1992,23.3,3.29
West Bank and Gaza,1992,32.7,6.54
Vietnam,1992,34.3,3.26
Yemen,1992,84.4,8.31
Zambia,1992,112.4,6.34
Zimbabwe,1992,54.5,4.84
Albania,1997,26.8,2.61
Algeria,1997,35.1,2.99
Angola,1997,131.5,6.95
Antigua and Barbuda,1997,16.2,2.28
Argentina,1997,19.6,2.66
Armenia,1997,30.6,1.7
Aruba,1997,NA,1.98
Australia,1997,5.4,1.78
Austria,1997,5,1.39
Azerbaijan,1997,71.2,2.3
Bahamas,1997,14.1,2.36
Bahrain,1997,13.1,2.93
Bangladesh,1997,74,3.47
Barbados,1997,14,1.74
Belarus,1997,14.2,1.34
Belgium,1997,5.5,1.61
Belize,1997,23.3,3.91
Benin,1997,94.2,6.21
Bhutan,1997,68.4,4.21
Bolivia,1997,66.8,4.39
Bosnia and Herzegovina,1997,10.1,1.5
Botswana,1997,51.3,3.75
Brazil,1997,34.8,2.45
Brunei,1997,7.9,2.68
Bulgaria,1997,19.4,1.23
Burkina Faso,1997,99.4,6.75
Burundi,1997,100,7.22
Cambodia,1997,88.2,4.24
Cameroon,1997,94.7,5.82
Canada,1997,5.4,1.57
Cape Verde,1997,38.8,4.22
Central African Republic,1997,115.1,5.55
Chad,1997,109.1,7.42
Chile,1997,10.2,2.25
China,1997,35,1.52
Colombia,1997,23.4,2.78
Comoros,1997,74.5,5.27
"Congo, Dem. Rep.",1997,112.5,7.23
"Congo, Rep.",1997,73.5,5.14
Costa Rica,1997,12.7,2.62
Cote d'Ivoire,1997,103.3,5.63
Croatia,1997,8,1.51
Cuba,1997,7.8,1.61
Cyprus,1997,6.9,1.95
Czech Republic,1997,7.2,1.23
Denmark,1997,5,1.75
Djibouti,1997,83.9,4.95
Dominican Republic,1997,36.4,3.01
Ecuador,1997,32.1,3.21
Egypt,1997,44,3.51
El Salvador,1997,31.8,3.32
Equatorial Guinea,1997,112.1,5.87
Eritrea,1997,67.2,6.16
Estonia,1997,11.1,1.34
Ethiopia,1997,98.7,6.86
Fiji,1997,21.5,3.21
Finland,1997,3.9,1.75
France,1997,4.8,1.75
French Polynesia,1997,NA,2.66
Gabon,1997,57.3,4.81
Gambia,1997,67.7,6
Georgia,1997,35.9,1.75
Germany,1997,4.8,1.33
Ghana,1997,69.8,4.87
Greece,1997,8.3,1.29
Greenland,1997,NA,2.69
Grenada,1997,14.3,2.87
Guatemala,1997,44.7,5.06
Guinea,1997,114.7,6.16
Guinea-Bissau,1997,116.2,6.12
Guyana,1997,39.6,2.52
Haiti,1997,82.4,4.67
Honduras,1997,34.3,4.37
"Hong Kong, China",1997,NA,0.92
Hungary,1997,11.1,1.43
Iceland,1997,3.7,2.07
India,1997,73.1,3.33
Indonesia,1997,46.7,2.58
Iran,1997,33.2,2.72
Iraq,1997,37.6,5.23
Ireland,1997,6.1,1.92
Israel,1997,6.4,2.93
Italy,1997,5.6,1.22
Jamaica,1997,20.5,2.68
Japan,1997,3.8,1.37
Jordan,1997,24.9,4.4
Kazakhstan,1997,42.7,2.05
Kenya,1997,71.1,5.1
Kiribati,1997,57.5,4.24
South Korea,1997,4.5,1.54
Kuwait,1997,11.9,2.79
Kyrgyz Republic,1997,47.5,3.04
Lao,1997,91.5,4.92
Latvia,1997,18.1,1.22
Lebanon,1997,19.9,2.47
Lesotho,1997,80.5,4.39
Liberia,1997,145.2,6.06
Libya,1997,26.5,3.38
Lithuania,1997,11,1.5
Luxembourg,1997,4.6,1.72
"Macao, China",1997,NA,1.12
"Macedonia, FYR",1997,17.5,1.85
Madagascar,1997,80,5.84
Malawi,1997,117.1,6.41
Malaysia,1997,10.7,3.19
Maldives,1997,46.7,4.02
Mali,1997,122.6,6.9
Malta,1997,7.6,1.82
Mauritania,1997,76.3,5.57
Mauritius,1997,19.8,2.07
Mexico,1997,25.8,2.83
"Micronesia, Fed. Sts.",1997,43.6,4.54
Moldova,1997,30.8,1.73
Mongolia,1997,56.6,2.43
Montenegro,1997,13.5,1.82
Morocco,1997,47.7,3.03
Mozambique,1997,132.7,5.88
Namibia,1997,48.4,4.35
Nepal,1997,69.6,4.47
Netherlands,1997,5.3,1.56
New Caledonia,1997,NA,2.62
New Zealand,1997,6.6,2.05
Nicaragua,1997,37.6,3.7
Niger,1997,111.3,7.77
Nigeria,1997,119.9,6.19
Norway,1997,4.2,1.86
Oman,1997,17.7,4.63
Pakistan,1997,93.3,5.04
Panama,1997,23,2.87
Papua New Guinea,1997,59.9,4.63
Paraguay,1997,30.1,3.92
Peru,1997,36.9,3.14
Philippines,1997,31.8,3.92
Poland,1997,10.4,1.52
Portugal,1997,6.6,1.48
Puerto Rico,1997,NA,2.01
Qatar,1997,12,3.48
Romania,1997,26,1.3
Russia,1997,21.6,1.22
Rwanda,1997,121.7,6.16
St. Lucia,1997,16.1,2.64
St. Vincent and the Grenadines,1997,19.1,2.58
Samoa,1997,20.4,4.64
Saudi Arabia,1997,22.1,4.59
Senegal,1997,71.2,5.84
Serbia,1997,13.3,1.76
Seychelles,1997,12.2,2.22
Sierra Leone,1997,150.1,6.1
Singapore,1997,3.8,1.61
Slovak Republic,1997,11.6,1.46
Slovenia,1997,5.4,1.25
Solomon Islands,1997,28.3,4.97
South Africa,1997,50.9,2.98
Spain,1997,6.1,1.2
Sri Lanka,1997,16,2.25
Sudan,1997,72.3,5.67
Suriname,1997,33.3,2.75
Swaziland,1997,76,4.56
Sweden,1997,3.6,1.53
Switzerland,1997,4.9,1.49
Syria,1997,22.6,4.28
Tajikistan,1997,87,4.33
Tanzania,1997,91.4,5.78
Thailand,1997,21.7,1.78
Timor-Leste,1997,98.5,6.83
Togo,1997,81.2,5.52
Tonga,1997,15.7,4.34
Trinidad and Tobago,1997,25.5,1.84
Tunisia,1997,31.9,2.39
Turkey,1997,38.5,2.61
Turkmenistan,1997,70.4,3.16
Uganda,1997,98.1,6.97
Ukraine,1997,17.4,1.26
United Arab Emirates,1997,10.5,3.05
United Kingdom,1997,5.8,1.73
United States,1997,7.5,1.97
Uruguay,1997,16.8,2.33
Uzbekistan,1997,56,3.14
Vanuatu,1997,25.5,4.61
Venezuela,1997,20.8,2.97
West Bank and Gaza,1997,27.3,5.93
Vietnam,1997,28.9,2.31
Yemen,1997,76.5,7.05
Zambia,1997,104.6,6.15
Zimbabwe,1997,62.7,4.24
Albania,2002,21,2.2
Algeria,2002,32.4,2.41
Angola,2002,125.5,6.78
Antigua and Barbuda,2002,12.3,2.29
Argentina,2002,17.1,2.38
Armenia,2002,24.2,1.2
Aruba,2002,NA,1.83
Australia,2002,5,1.76
Austria,2002,4.4,1.39
Azerbaijan,2002,53.1,2
Bahamas,2002,12.8,1.92
Bahrain,2002,10.2,2.67
Bangladesh,2002,58.6,2.91
Barbados,2002,15.3,1.79
Belarus,2002,9.3,1.23
Belgium,2002,4.4,1.68
Belize,2002,19.9,3.4
Benin,2002,85.2,5.82
Bhutan,2002,53.3,3.24
Bolivia,2002,53.7,3.98
Bosnia and Herzegovina,2002,7.2,1.28
Botswana,2002,50.3,3.23
Brazil,2002,24.3,2.26
Brunei,2002,7.5,2.29
Bulgaria,2002,16.3,1.22
Burkina Faso,2002,93.4,6.47
Burundi,2002,88.6,6.94
Cambodia,2002,68.3,3.5
Cameroon,2002,86.2,5.52
Canada,2002,5.3,1.51
Cape Verde,2002,24.9,3.36
Central African Republic,2002,112.1,5.33
Chad,2002,103.4,7.27
Chile,2002,8.3,2.01
China,2002,26.2,1.47
Colombia,2002,20,2.57
Comoros,2002,72.5,5.3
"Congo, Dem. Rep.",2002,103.1,6.96
"Congo, Rep.",2002,73.3,5.13
Costa Rica,2002,10,2.28
Cote d'Ivoire,2002,95.7,5.21
Croatia,2002,6.6,1.39
Cuba,2002,5.9,1.62
Cyprus,2002,4.7,1.61
Czech Republic,2002,5.1,1.17
Denmark,2002,4.5,1.72
Djibouti,2002,76.4,4.25
Dominican Republic,2002,31.8,2.84
Ecuador,2002,26.5,2.98
Egypt,2002,33.4,3.18
El Salvador,2002,24.2,2.68
Equatorial Guinea,2002,99.7,5.68
Eritrea,2002,53.4,5.77
Estonia,2002,7.5,1.38
Ethiopia,2002,82.5,6.22
Fiji,2002,20.3,3
Finland,2002,3.4,1.72
France,2002,4.2,1.87
French Polynesia,2002,NA,2.37
Gabon,2002,53.7,4.49
Gambia,2002,60.6,5.87
Georgia,2002,27.4,1.59
Germany,2002,4.2,1.35
Ghana,2002,61.2,4.57
Greece,2002,6,1.28
Greenland,2002,NA,2.57
Grenada,2002,13.1,2.46
Guatemala,2002,37.1,4.63
Guinea,2002,95.4,5.79
Guinea-Bissau,2002,100.5,5.69
Guyana,2002,35.8,2.65
Haiti,2002,70.7,4.07
Honduras,2002,28.2,3.78
"Hong Kong, China",2002,NA,0.92
Hungary,2002,8.6,1.29
Iceland,2002,2.8,2
India,2002,62,3.02
Indonesia,2002,37.8,2.47
Iran,2002,25.6,1.99
Iraq,2002,34.6,4.8
Ireland,2002,5.4,1.97
Israel,2002,5.2,2.91
Italy,2002,4.3,1.25
Jamaica,2002,17.8,2.55
Japan,2002,3,1.3
Jordan,2002,22.1,3.89
Kazakhstan,2002,33.9,2
Kenya,2002,62.2,4.99
Kiribati,2002,50.9,3.63
South Korea,2002,5.6,1.25
Kuwait,2002,10.6,2.72
Kyrgyz Republic,2002,38.2,2.54
Lao,2002,77.8,3.83
Latvia,2002,12.8,1.25
Lebanon,2002,15.1,2.04
Lesotho,2002,86.3,3.86
Liberia,2002,108.2,5.72
Libya,2002,22.7,2.93
Lithuania,2002,8.9,1.29
Luxembourg,2002,3.4,1.67
"Macao, China",2002,NA,0.86
"Macedonia, FYR",2002,12.8,1.6
Madagascar,2002,62.9,5.34
Malawi,2002,88.8,6.12
Malaysia,2002,7.6,2.54
Maldives,2002,28.3,2.87
Mali,2002,108.8,6.81
Malta,2002,6.4,1.46
Mauritania,2002,75.9,5.26
Mauritius,2002,14.2,1.93
Mexico,2002,19.3,2.57
"Micronesia, Fed. Sts.",2002,40.6,4.11
Moldova,2002,21.5,1.51
Mongolia,2002,42.5,2.09
Montenegro,2002,11.5,1.79
Morocco,2002,38.9,2.54
Mozambique,2002,104,5.74
Namibia,2002,48.7,3.85
Nepal,2002,53.8,3.78
Netherlands,2002,4.9,1.73
New Caledonia,2002,NA,2.29
New Zealand,2002,5.8,1.95
Nicaragua,2002,29.8,3.05
Niger,2002,94.1,7.68
Nigeria,2002,105.9,6.06
Norway,2002,3.6,1.75
Oman,2002,12.5,3.3
Pakistan,2002,84.4,4.13
Panama,2002,20.9,2.78
Papua New Guinea,2002,57.3,4.39
Paraguay,2002,26.1,3.51
Peru,2002,25.7,2.82
Philippines,2002,28.9,3.71
Poland,2002,7.3,1.28
Portugal,2002,4.7,1.45
Puerto Rico,2002,NA,1.83
Qatar,2002,9.8,3
Romania,2002,21.6,1.27
Russia,2002,17.7,1.29
Rwanda,2002,94.1,5.67
St. Lucia,2002,14.9,2.15
St. Vincent and the Grenadines,2002,19.2,2.27
Samoa,2002,17.5,4.46
Saudi Arabia,2002,18.2,3.63
Senegal,2002,63.9,5.41
Serbia,2002,10.1,1.57
Seychelles,2002,12.3,2.18
Sierra Leone,2002,137.7,5.76
Singapore,2002,2.6,1.37
Slovak Republic,2002,9.5,1.23
Slovenia,2002,4.1,1.23
Solomon Islands,2002,27.2,4.62
South Africa,2002,54.7,2.8
Spain,2002,5.2,1.27
Sri Lanka,2002,13.2,2.25
Sudan,2002,64.6,5.29
Suriname,2002,28.2,2.66
Swaziland,2002,85.9,4.05
Sweden,2002,3.3,1.67
Switzerland,2002,4.6,1.42
Syria,2002,18.2,3.72
Tajikistan,2002,65.3,3.76
Tanzania,2002,71.4,5.67
Thailand,2002,17.5,1.62
Timor-Leste,2002,78.6,7.04
Togo,2002,72.6,5.17
Tonga,2002,14.6,4.22
Trinidad and Tobago,2002,25.1,1.74
Tunisia,2002,23.3,2.04
Turkey,2002,28.3,2.36
Turkmenistan,2002,62.7,2.74
Uganda,2002,81.6,6.77
Ukraine,2002,14.3,1.15
United Arab Emirates,2002,9.1,2.43
United Kingdom,2002,5.3,1.67
United States,2002,6.9,2.02
Uruguay,2002,13.7,2.21
Uzbekistan,2002,50,2.59
Vanuatu,2002,23.4,4.16
Venezuela,2002,17.4,2.74
West Bank and Gaza,2002,23.6,5.1
Vietnam,2002,24.6,1.92
Yemen,2002,63,5.98
Zambia,2002,86.5,6.02
Zimbabwe,2002,62.7,4.02
Albania,2007,16.7,1.8
Algeria,2007,26.4,2.66
Angola,2007,117.1,6.52
Antigua and Barbuda,2007,9.2,2.18
Argentina,2007,14.1,2.25
Armenia,2007,18.8,1.4
Aruba,2007,NA,1.74
Australia,2007,4.5,1.92
Austria,2007,3.8,1.38
Azerbaijan,2007,39.3,1.99
Bahamas,2007,12.2,1.88
Bahrain,2007,8.5,2.29
Bangladesh,2007,45.9,2.44
Barbados,2007,14.5,1.83
Belarus,2007,6.2,1.39
Belgium,2007,3.9,1.8
Belize,2007,17.6,2.97
